Tiempo (años),Escenario Base,Tratamiento 50%,Tratamiento 80%,Tratamiento 95%,Intervención Combinada,Escenario Optimista
0.0,893000000000.0,893000000000.0,893000000000.0,893000000000.0,893000000000.0,893000000000.0
0.1,892965240000.0,892965240000.0,892965240000.0,892965240000.0,892965240000.0,892965240000.0
0.2,892930479999.9999,892930480000.0,892930480000.0,892930480000.0,892930479999.9999,892930479999.9999
0.30000000000000004,892895719999.9999,892895720000.0,892895720000.0,892895719999.9999,892895719999.9999,892895719999.9999
0.4,892860959999.9999,892860959999.9999,892860960000.0,892860960000.0,892860960000.0,892860960000.0
0.5,892826199999.9999,892826199999.9999,892826200000.0001,892826199999.9999,892826200000.0,892826200000.0
0.6000000000000001,892791439999.9999,892791440000.0,892791440000.0,892791440000.0,892791440000.0,892791440000.0
0.7000000000000001,892756679999.9999,892756680000.0,892756680000.0,892756680000.0,892756680000.0,892756680000.0
0.8,892721919999.9998,892721920000.0,892721920000.0001,892721919999.9999,892721920000.0,892721920000.0
0.9,892687159999.9998,892687160000.0,892687160000.0001,892687159999.9999,892687160000.0,892687160000.0
1.0,892652399999.9998,892652400000.0,892652400000.0,892652400000.0,892652400000.0,892652400000.0
1.1,892617639999.9998,892617640000.0,892617640000.0,892617640000.0,892617640000.0,892617640000.0
1.2000000000000002,892582879999.9998,892582879999.9999,892582880000.0001,892582879999.9999,892582880000.0,892582880000.0
1.3,892548119999.9998,892548119999.9999,892548120000.0001,892548119999.9999,892548120000.0,892548120000.0
1.4000000000000001,892513359999.9998,892513359999.9999,892513360000.0001,892513360000.0,892513360000.0001,892513360000.0001
1.5,892478599999.9998,892478599999.9999,892478600000.0001,892478600000.0,892478600000.0001,892478600000.0001
1.6,892443839999.9998,892443839999.9999,892443840000.0001,892443840000.0,892443840000.0001,892443840000.0001
1.7000000000000002,892409079999.9998,892409079999.9999,892409080000.0001,892409080000.0,892409080000.0001,892409080000.0001
1.8,892374319999.9999,892374319999.9999,892374320000.0001,892374319999.9999,892374320000.0001,892374320000.0001
1.9000000000000001,892339559999.9999,892339559999.9999,892339560000.0001,892339559999.9999,892339560000.0001,892339560000.0001
2.0,892304799999.9998,892304800000.0,892304800000.0001,892304799999.9999,892304800000.0001,892304800000.0001
2.1,892270039999.9998,892270040000.0,892270040000.0001,892270039999.9999,892270040000.0001,892270040000.0001
2.2,892235279999.9998,892235280000.0,892235280000.0001,892235279999.9999,892235280000.0001,892235280000.0001
2.3000000000000003,892200519999.9999,892200519999.9999,892200520000.0001,892200519999.9998,892200520000.0001,892200520000.0001
2.4000000000000004,892165759999.9999,892165759999.9999,892165760000.0001,892165759999.9998,892165760000.0001,892165760000.0001
2.5,892130999999.9999,892130999999.9999,892131000000.0001,892130999999.9998,892131000000.0001,892131000000.0001
2.6,892096239999.9999,892096239999.9999,892096240000.0001,892096239999.9998,892096240000.0001,892096240000.0001
2.7,892061479999.9998,892061479999.9998,892061480000.0001,892061479999.9998,892061480000.0002,892061480000.0002
